Time,X_pos,Y_pos,X_vel,Y_vel,X_acl,Y_acl,Angle,Ang_vel,Ang_acl
0.34,-0.004604142964329584,0.5271992312729401,-0.08401975909251176,9.57619114358427,-1.4658632056204812,131.3408501886112,0.5950000000000003,3.4000000000000017,10.0
0.35000000000000003,-0.00559092687581675,0.6360952277276439,-0.09867839114871657,10.889599645470382,-1.652906000990498,140.50860489077238,0.6300000000000003,3.5000000000000018,10.0
0.36,-0.006743001387402966,0.759042084671425,-0.11520745115862155,12.294685694378105,-1.8489632436101526,149.2485871370512,0.6660000000000004,3.600000000000002,10.0
0.37,-0.008079972223350197,0.8969138003289112,-0.13369708359472307,13.787171565748617,-2.0117164573109716,154.1403249686924,0.7030000000000004,3.700000000000002,10.0
0.38,-0.009618114705028526,1.0501995484832667,-0.1538142481678328,15.328574815435541,-2.2240199851096185,162.14661829690039,0.7410000000000004,3.800000000000002,10.0
0.39,-0.011378659185217816,1.219699958467312,-0.17605444801892897,16.950040998404546,-2.4783552123459582,172.22913011064819,0.7800000000000005,3.900000000000002,10.0
0.4,-0.013387039186641702,1.4064232814624222,-0.20083800014238856,18.672332299511027,-2.7246417098180413,180.55562449122448,0.8200000000000005,4.000000000000002,10.0
0.41000000000000003,-0.015667883359047393,1.611202166906655,-0.22808441724056897,20.477888544423273,-2.9684331045313077,187.71135437193368,0.8610000000000005,4.100000000000001,10.0
0.42,-0.018245570841906214,1.834752187788081,-0.25776874828588203,22.35500208814261,-3.226039188391646,194.8667728856902,0.9030000000000006,4.200000000000001,10.0
0.43,-0.0211458622436042,2.077788885958076,-0.29002914016979847,24.30366981699951,-3.4978343610708027,202.02185500377973,0.9460000000000006,4.300000000000001,10.0
0.44,-0.024395937081409264,2.3410277696284494,-0.3250074837805065,26.323888367037306,-3.788027829199441,209.39849248685556,0.9900000000000007,4.4,10.0
0.45,-0.028024814702134273,2.625206502547508,-0.3628877620725009,28.417873291905863,-4.097516779712701,216.99664843540853,1.0350000000000006,4.5,10.0
